ref,line_index
"Minchat Ani on Torah, Shoftim 2",641
"Minchat Ani on Torah, Shoftim 3",642
"Minchat Ani on Torah, Shoftim 4",643
"Minchat Ani on Torah, Shoftim 5",644
"Minchat Ani on Torah, Shoftim 6",645
"Minchat Ani on Torah, Shoftim 7",646
"Minchat Ani on Torah, Shoftim 8",647
"Minchat Ani on Torah, Shoftim 9",648
"Minchat Ani on Torah, Shoftim 10",649
"Minchat Ani on Torah, Shoftim 11",650
"Minchat Ani on Torah, Shoftim 12",651
"Minchat Ani on Torah, Shoftim 13",652
"Minchat Ani on Torah, Ki Teitzei 1",654
"Minchat Ani on Torah, Ki Teitzei 2",655
"Minchat Ani on Torah, Ki Teitzei 3",656
"Minchat Ani on Torah, Ki Teitzei 4",657
"Minchat Ani on Torah, Ki Teitzei 5",658
"Minchat Ani on Torah, Ki Teitzei 6",659
"Minchat Ani on Torah, Ki Teitzei 7",660
"Minchat Ani on Torah, Ki Teitzei 8",661
"Minchat Ani on Torah, Ki Teitzei 9",662
