MefareshDesc,AuthorName
שדה הארץ,"אברהם ב""ר שמואל מיוחס (נלב""ע תקכ""ח)"
מחנה דן,"דוד ב""ר אברהם נחמייאש (נלב""ע תרצ""ב)"
זכור לאברהם,"אברהם ב""ר אביגדור (נלב""ע תק""ע בערך)"
דבש תמר,"מר' דוד ב""ר שלמה טייטלבוים ממעזריטש"
בן הרמה,"חיים מאיר מזרחי (ת""ר-תר""ס בערך)"
ברכת אברהם,"מר' אברהם בן הרמב""ם (דתתקמ""ד-דתתקצ""ז)"
דברי תורה,"יהונתן שמעון ב""ר יעקב פרענקיל תאומים (תק""ל-ת""ר)"
מגדל חננאל,"חננאל חאביף (נלב""ע תקס""ג)"
פני המלך,"ר' זקן משה מאגו'ז (תרי""א-תרע""ה)"
שערי שמים,ר' מנחם הכהן ריזיקאוו
גופי הלכות,"מר' שלמה אלגאוי (נלב""ע תמ""ג בערך)"
הר המור,"רחמים ניסים משה ב""ר חיים רבי (נלב""ע תקפ""ח)"
ישמח ישראל,"מר' ישראל ב""ר שלמה יעקב רבינוביץ (נולד תר""י)"
שי למלך,"אלימלך ב""ר שמעון יוסף מלר ר""מ נתיב מאיר (בחיים)"
נר שמואל ח''א,"מר' שמואל ב""ר נחום מאיר הלוי ווילנסקי (נלב""ע תש""כ)"
כתר תורה 1,"מהרב מאיר ב""ר לוי יצחק מברדיטשוב (ת""כ-ת""ע בערך)"
אהלי יצחק,"מר' יצחק בונאן (ת""ק-תק""ע בערך)"
כרם חמד,"מר' שלמה ב""ר יוסף אליעזר פריידעש משקלאב"
קונטרס תשובה מיראה,"אליהו דוד ראבינאוויץ תאומים (תר""ג-תרס""ה)"
אדמת יהודה,"ר' יהודה הכהן טנו'גי (נלב""ע תקצ""ה)"
כתר תורה,"מר' לוי ב""ר דוד מקאדני (ת""ן-תק""כ בערך)"
אהל יצחק,"מר' יצחק ב""ר יוסף הכהן חסיד (תק""ז-תקפ""ז)"
חלק יעקב,"מר' יעקב אלבעלי (נלב""ע תקל""ד)"
אבני שהם,"אברהם פרץ הכהן (תק""מ-ת""ר בערך)"
בני שמואל,"מר' משה ב""ר שמואל עדאוי (נלב""ע תקכ""ח)"
שארית יעקב,ר' יעקב ביבאס
מגיד משנה,
אורה ושמחה,יוסף קדיש ברנדסדורפר (בחיים)
קרית מלך רב,"ר' יהודה נבון (נלב""ע תקכ""א)"
שופריה דיעקב,ר' יעקב מעארך
מלכי בקדש,"עזרא מלכי (ת""ע-תקכ""ח)"
קהלת יעקב,"מר' יעקב ב""ר יצחק אלבעלי (נלב""ע תקל""ד)"
חידושים מהגאון בעל מחנה אפרים,"מר' אפרים נבון (תל""ז-תצ""ה)"
קול יעקב,"מהר' יעקב שאול (נלב""ע תקי""ח)"
תשובות חד מקמאי,"מר' יוסף קורקוס (נלב""ע ש')"
בקע לגולגולת,"מר' אליהו אלמאליח (תקצ""ז-תרס""ח)"
"שביתת יו""ט","מר' יום טוב אלנקוה (נלב""ע תקמ""ה בערך)"
חידושי ופירושי מהרי''ק,"ר' יוסף קולון (ק""פ-ר""מ)"
ספר המנוחה,רבינו מנוח
הד משה,"מר' משה שאכעט (תרל""ח-תש""ז)"
תבואות שמש,"מר' מאיר ב""ר אהרן מח""ס מנחת אהרן (נלב""ע תקס""ט)"
"חידושים על הלכות יו""ט (בינה לעתים)","מר' יונתן אייבעשיץ (ת""ן-תקכ""ד)"
בן שלמה,שלמה אשכנזי
באר המלך,"מר' אברהם דוד רוזינטל ראב""ד י-ם (תרס""ד-תשנ""ט)"
בית הראה,"מר' שמואל פלורינטין אחרון (נלב""ע תע""ט)"
עין אליעזר,"אליעזר ליפמן ב""ר עזריאל הכהן וואלק (נלב""ע תרפ""ה בערך)"
"קדושת יו""ט","מר' יו""ט אלגאזי (תפ""ז-תקס""א)"
עין ימין,"חיים יצחק אלגאזי (נלב""ע תקפ""א)"
חדות יעקב,"ר' יעקב זאמוטשט (נלב""ע תק""י בערך)"
קרבן חגיגה,"ר' משה גאלאנטי (נלב""ע תמ""ט)"
דברי יוסף,"מר' יוסף ב""ר אליהו חיים קאנוויץ (תרל""ח-תש""ד)"
קונטרס דרך המלך,"מאיר הלוי ב""ר משה יצחק לוין"
דבר המלך,"מר' דוד מאיר ב""ר אליהו צבי קרויזער (בחיים)"
שקל הקודש,הרב חיים קנייבסקי (בחיים)
לחקרי הלכות,"מר' חיים העליר (תרל""ט-תש""כ)"
נאוה קדש,"מר' שמעון ב""ר נתן נטע וואלטש מברוינשוויג"
פקודת המלך,"מהרב ישראל נחמן ב""ר יוסף דראביטשער (תק""ה-תקפ""ה)"
בני אהובה,"מר' יונתן אייבשיץ (ת""ן-תקכ""ד)"
לבב דוד,מר' דוד שמואל מועטי
עמק המלך,"מר' יקותיאל זאב ב""ר יוסף מקראל (נלב""ע תקע""ח)"
תפארת מנחם,"מר' מנחם מענדיל ב""ר גבריאל שפרניק (נלב""ע תר""ל בערך)"
זכרון מלך,"ר' אריב ליב צונץ (תקכ""ה-תקצ""ג)"
דרכי משה,"הרב משה אביגדור עמיאל (תרמ""ג-תש""ה)"
בית אבי-גדר,"מר' חיים יהושע ב""ר יהודה הרפא אביגדר"
אם הדרך,ר' מיכאל אשכנזי
פארי הלכות,"מהרב יחיאל מיכל ב""ר יהודה לייב מקלווריעא"
אהל יוסף,"מר' יוסף ב""ר אברהם מולכו (תנ""ב-תקכ""ח)"
